AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_016868	1.0	0.0433363662373	0.0	-
NM_016869	0.0	-	0.0	-
NM_001033128	24.0	1.29093901555	16.0	2.70309976431
NM_001033126	1.0	0.191026482392	1.0	0.399811070718
NM_008033	98.0	15.6850920535	76.0	20.1767089551
NM_001033124	0.0	-	0.0	-
NM_016861	27.0	5.40103579984	15.0	4.58929475992
NM_001033122	0.0	-	0.0	-
NM_001033123	0.0	-	0.0	-
NM_016864	0.0	-	0.0	-
NM_177327	16.0	0.746231414409	5.0	0.545987914854
NM_177326	114.0	5.9781539684	54.0	10.3219795286
NM_177325	36.0	3.20179571788	29.0	3.61968256686
NM_177324	98.0	4.11889685223	64.0	3.4290256487
NM_177631	0.0	-	0.0	-
NM_177630	0.0	-	0.0	-
NM_177633	46.0	1.34218413137	18.0	3.68642126021
NM_177320	1.0	0.0690024607496	1.0	0.115083232512
NM_021426	0.0	-	0.0	-
NM_001286948	1438.0	265.595720692	678.0	425.244052454
NM_177638	0.0	-	0.0	-
NM_001289701	110.0	3.9363307961	95.0	3.86911322292
NM_001290302	7.0	0.834285096498	4.0	0.812571487856
NM_001289875	0.0	-	0.0	-
NM_011078	252.0	14.4232983907	161.0	14.7281359879
NM_001170705	0.0	-	0.0	-
NM_028974	0.0	-	0.0	-
NM_001289709	236.0	38.2604339015	197.0	49.3003940493
NM_011075	21.0	1.45538960895	18.0	1.41452342796
NM_011076	3.0	0.181469400995	2.0	0.157169269773
NM_001290308	854.0	21.9390141444	709.0	23.2061247012
NM_011070	27.0	13.0684226347	26.0	16.8333357904
NM_011072	354.0	122.49935475	199.0	141.632362917
NM_011073	0.0	-	0.0	-
NM_134072	0.0	-	0.0	-
NM_001282737	49.0	21.3176720755	32.0	21.8454593198
NM_134071	25.0	2.01134243887	20.0	1.90241855451
NM_134077	32.0	2.34685689647	12.0	1.22381193598
NM_016863	1.0	0.307201771684	1.0	0.920665860093
NM_134078	149.0	16.577088951	104.0	23.0899738717
NM_001002898	0.0	-	0.0	-
NM_016860	791.0	86.847800647	396.0	105.410135769
NM_022024	0.0	-	0.0	-
NM_181344	76.0	7.60145779237	63.0	13.0894667935
NM_133223	7.0	1.95492036526	5.0	2.59980773964
NM_144936	33.0	6.30787637858	19.0	6.83404658155
NM_133221	453.0	47.4527329581	299.0	51.2037901814
NM_133226	0.0	-	0.0	-
NM_133227	373.0	17.5350617772	312.0	22.492819375
NM_007457	310.0	73.0837104445	168.0	106.032913396
NM_144933	49.0	3.78252027597	43.0	6.63870905578
NM_007459	710.0	46.0769546751	438.0	46.8098290656
NM_007458	499.0	43.6328232324	441.0	45.2510094364
NM_133228	7.0	0.777926967056	4.0	0.74197840111
NM_133229	2.0	0.393796908111	2.0	1.31179841504
NM_001276398	0.0	-	0.0	-
NM_144939	11.0	1.55111714227	9.0	1.83199433824
NM_016867	1.0	0.238178588806	1.0	0.31857961508
NM_030614	0.0	-	0.0	-
NM_026298	123.0	6.84728209298	118.0	6.7666310243
NM_001024837	155.0	7.08532479788	66.0	9.30234578302
NM_030611	0.0	-	0.0	-
NM_030610	0.0	-	0.0	-
NM_030612	42.0	3.28000646499	33.0	4.54270932614
NM_009536	176.0	25.4986340616	87.0	34.1041966846
NM_026290	1.0	0.272944457163	1.0	0.294289087244
NM_026296	0.0	-	0.0	-
NM_175137	741.0	50.4258098015	656.0	62.0464577381
NM_001167913	0.0	-	0.0	-
NM_001039228	0.0	-	0.0	-
NM_207547	0.0	-	0.0	-
NM_028528	0.0	-	0.0	-
NM_001080820	2.0	0.162514297571	2.0	0.249323177019
NM_028527	0.0	-	0.0	-
NM_028524	0.0	-	0.0	-
NM_028525	0.0	-	0.0	-
NM_020585	56.0	8.30095186117	12.0	8.72631119567
NM_028521	17.0	2.43250072066	4.0	1.65872030992
NM_025921	9.0	0.463879408707	2.0	1.0035257875
NM_025920	92.0	12.822829507	78.0	13.7324581448
NM_025923	9.0	1.52049361743	8.0	2.13516125
NM_025922	21.0	5.45488564388	6.0	3.02570589197
NM_054087	382.0	32.2050000694	256.0	51.4834872947
NM_054084	0.0	-	0.0	-
NM_054085	0.0	-	0.0	-
NM_025929	0.0	-	0.0	-
NM_025928	206.0	57.5305136063	140.0	69.2086750001
NM_054088	170.0	11.0087793424	125.0	32.5820060877
NM_054089	9.0	0.626188959153	5.0	0.587544372074
NM_177322	0.0	-	0.0	-
NM_001081354	5.0	0.435432074415	3.0	0.37444992071
NM_001164791	32.0	1.44025228884	12.0	2.64666141759
NM_001164797	0.0	-	0.0	-
NM_029219	84.0	9.98769741116	81.0	11.1045886322
NM_001161548	2.0	0.29529939799	2.0	0.446011461112
NM_177632	41.0	4.01410315001	30.0	7.08371144119
NM_029211	140.0	28.3253246472	110.0	33.6548282394
NM_029210	0.0	-	0.0	-
NM_194063	0.0	-	0.0	-
NM_021022	1.0	0.061503112615	1.0	0.0759096662256
NM_194060	51.0	6.07355401455	47.0	8.42244857368
NM_001177896	0.0	-	0.0	-
NM_144559	0.0	-	0.0	-
NM_008030	0.0	-	0.0	-
NM_184088	157.0	6.06597338184	125.0	6.57790893748
NM_028295	119.0	19.8042402509	113.0	21.8915857119
NM_028296	0.0	-	0.0	-
NM_001040689	0.0	-	0.0	-
NM_028291	79.0	5.13905815985	57.0	6.8258913947
NM_028292	271.0	34.5559705734	154.0	39.9335843089
NM_019781	1407.0	218.11958543	928.0	247.021732308
NM_028298	63.0	4.65781861095	31.0	5.73972313885
NM_028299	27.0	6.87114021874	22.0	6.36241133286
NM_001018087	1.0	0.225511412922	1.0	0.660214333883
NM_001160363	2.0	0.419592663764	2.0	0.861395525753
NM_172919	5.0	0.546384276317	0.0	-
NM_172918	12.0	0.897563437269	8.0	1.32042866777
NM_172677	96.0	5.59565201937	44.0	7.39616995814
NM_001253381	18.0	2.19661096575	11.0	2.98345504392
NM_172913	0.0	-	0.0	-
NM_172912	0.0	-	0.0	-
NM_172911	23.0	1.44860417024	19.0	1.38769941503
NM_172910	0.0	-	0.0	-
NM_172916	0.0	-	0.0	-
NM_172914	0.0	-	0.0	-
NM_054055	0.0	-	0.0	-
NM_001290303	94.0	7.59716166646	89.0	7.61413427857
NM_001166207	0.0	-	0.0	-
NM_001193659	226.0	17.8861851716	102.0	41.7794409491
NM_175249	0.0	-	0.0	-
NM_175246	63.0	8.1576934984	37.0	9.66938909832
NM_175247	2.0	0.145228044501	1.0	0.12149222609
NM_175244	158.0	10.4497193163	138.0	16.0657260644
NM_175245	28.0	3.73653218751	6.0	7.62171484179
NM_175242	61.0	5.76594094546	52.0	8.77030940338
NM_001302140	16.0	0.675301244919	15.0	0.730013909434
NM_175240	0.0	-	0.0	-
NM_175241	0.0	-	0.0	-
NM_010855	0.0	-	0.0	-
NM_001167700	103.0	16.825256014	87.0	21.294327686
NM_010585	1000.0	30.4806860636	895.0	32.6602029023
NM_010584	0.0	-	0.0	-
NM_010851	99.0	15.6455201516	60.0	20.2732482324
NM_010582	21.0	2.02505203756	20.0	2.11046432703
NM_010581	693.0	109.003663125	397.0	122.584534658
NM_010852	7.0	0.702702285346	1.0	0.174526223913
NM_001286726	30.0	2.79188008888	22.0	4.04351049909
NM_001042501	7.0	0.915466617617	1.0	0.407937311993
NM_001042503	0.0	-	0.0	-
NM_010859	0.0	-	0.0	-
NM_145364	0.0	-	0.0	-
NM_010589	221.0	16.9124961137	212.0	19.3231123479
NM_010588	4.0	0.297047593735	4.0	0.32164288061
NM_207202	8.0	0.661483628125	7.0	1.11502865278
NM_207203	0.0	-	0.0	-
NM_008044	20.0	5.49877143837	17.0	8.20189345554
NM_207206	12.0	1.89941789433	10.0	1.91147769048
NM_207207	141.0	44.1259259993	94.0	46.9310567289
NM_207204	16.0	0.945793006088	14.0	1.00712265412
NM_207205	73.0	2.99825576348	59.0	4.9546461475
NM_146860	0.0	-	0.0	-
NM_146861	0.0	-	0.0	-
NM_207208	0.0	-	0.0	-
NM_146863	0.0	-	0.0	-
NM_146864	0.0	-	0.0	-
NM_009349	1.0	0.294289087244	1.0	0.378688976416
NM_146866	0.0	-	0.0	-
NM_146867	0.0	-	0.0	-
NM_008300	228.0	14.7933542813	163.0	19.4038794025
NM_001100452	56.0	2.5625829503	42.0	3.92075191396
NM_001100451	59.0	3.63388020433	22.0	3.81964832613
NM_001195760	0.0	-	0.0	-
NM_008304	212.0	19.2647872276	101.0	49.9291155358
NM_001013381	25.0	1.81316391382	17.0	3.85100189335
NM_001013382	0.0	-	0.0	-
NM_001100454	2.0	0.237427236791	0.0	-
NM_008308	0.0	-	0.0	-
NM_146778	0.0	-	0.0	-
NM_145361	262.0	26.0664662583	200.0	38.3025109734
NM_198166	0.0	-	0.0	-
NM_001013389	229.0	31.902925313	194.0	44.7549431667
NM_178716	89.0	4.97016110671	55.0	6.13947923388
NM_001170955	0.0	-	0.0	-
NM_001170954	2.0	0.282418139072	2.0	0.55751432639
NM_001243064	1510.0	173.378025072	570.0	386.493039781
NM_178347	64.0	4.66078740204	49.0	8.22287016515
NM_011425	0.0	-	0.0	-
NM_138950	285.0	12.4187950255	253.0	13.1210348443
NM_024471	155.0	16.1802874892	90.0	24.1490162768
NM_001256382	0.0	-	0.0	-
NM_146321	0.0	-	0.0	-
NM_008509	36546.0	2717.32675451	29181.0	6165.02863265
NM_001002786	1.0	0.0733392780147	1.0	0.138226692493
NM_001002787	0.0	-	0.0	-
NM_001081082	0.0	-	0.0	-
NM_001081083	0.0	-	0.0	-
NM_001347397	10.0	0.465817323612	3.0	0.779942321893
NM_001081085	24.0	2.12074718815	21.0	4.9469581074
NM_001081086	12.0	0.57371650548	4.0	0.533081427624
NM_146775	0.0	-	0.0	-
NM_001081088	0.0	-	0.0	-
NM_001081089	0.0	-	0.0	-
NM_001127324	37.0	8.98317438812	26.0	10.6063701118
NM_001289878	111.0	5.52536519904	43.0	5.38721708646
NM_001128510	0.0	-	0.0	-
NM_001324553	0.0	-	0.0	-
NM_011471	0.0	-	0.0	-
NM_146326	0.0	-	0.0	-
NM_011980	16.0	2.37286885715	10.0	3.42500268772
NM_172668	5.0	0.187504818293	5.0	0.263254403857
NM_025747	17.0	1.13154576968	6.0	1.11091415591
NM_025746	0.0	-	0.0	-
NM_001171026	1425.0	105.953883467	1153.0	171.926483357
NM_011985	4.0	0.839770533474	3.0	0.768004429211
NM_011986	154.0	12.5271254749	111.0	15.2590907415
NM_011989	1080.0	81.1233421034	754.0	117.49354717
NM_172663	32.0	2.21061210647	17.0	2.10876865112
NM_172662	4.0	0.469668855305	3.0	0.675017345853
NM_172665	648.0	37.6249591303	338.0	77.9751071668
NM_001113354	43.0	2.03577333838	25.0	2.45001412964
NM_172666	47.0	1.92277668213	28.0	4.18135744792
NM_029590	0.0	-	0.0	-
NM_021542	17.0	1.52139759699	11.0	2.19458919732
NM_001040089	0.0	-	0.0	-
NM_172392	1.0	0.0864611534321	1.0	0.138992491344
NM_024290	8.0	0.732946405966	4.0	2.26785488701
NM_024291	0.0	-	0.0	-
NM_146773	0.0	-	0.0	-
NM_146985	0.0	-	0.0	-
NM_019654	70.0	4.79609502447	35.0	6.54067086826
NM_001104614	1.0	0.112755706461	1.0	0.113009660755
NM_146328	0.0	-	0.0	-
NM_001081228	0.0	-	0.0	-
NM_001081229	239.0	7.34362104142	141.0	18.3762514335
NM_001347139	108.0	10.3383896709	95.0	11.3224405953
NM_013680	1.0	0.0936998867882	1.0	0.141941412659
NM_001347641	132.0	8.90823160392	64.0	19.0580564986
NM_001081225	65.0	2.8442954733	34.0	2.93126089133
NM_001081226	53.0	27.9440630846	40.0	29.3000229928
NM_001081227	0.0	-	0.0	-
NM_001081220	0.0	-	0.0	-
NM_001081221	35.0	1.25113046411	31.0	2.09914301029
NM_001081222	7.0	0.46418593695	2.0	0.237802319313
NM_001081223	13.0	1.08174421538	7.0	0.78575844659
NM_001037922	0.0	-	0.0	-
NM_001037923	2.0	0.244464260049	1.0	0.857714348292
NM_001004192	0.0	-	0.0	-
NM_183123	0.0	-	0.0	-
NM_001037927	15.0	1.9763089907	12.0	1.730216875
NM_001324552	0.0	-	0.0	-
NM_019650	98.0	9.58533403267	35.0	16.489860358
NM_001037928	0.0	-	0.0	-
NM_001037929	0.0	-	0.0	-
