AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_016868	2.0	0.0991748765758	1.0	0.173194536846
NM_016869	0.0	-	0.0	-
NM_001033128	15.0	0.923219404465	11.0	2.12644403572
NM_001033126	2.0	0.43716235252	1.0	0.45748198378
NM_008033	85.0	15.5667912662	82.0	24.9097729898
NM_001033124	0.0	-	0.0	-
NM_016861	30.0	6.8667893778	30.0	10.5025589569
NM_001033122	0.0	-	0.0	-
NM_001033123	0.0	-	0.0	-
NM_016864	0.0	-	0.0	-
NM_177327	16.0	0.853871873056	6.0	0.749693000623
NM_177326	107.0	6.42044607474	88.0	19.2473563004
NM_177325	42.0	4.27424674122	42.0	5.99847645896
NM_177324	41.0	1.97177736775	25.0	1.53267455858
NM_177631	0.0	-	0.0	-
NM_177630	0.0	-	0.0	-
NM_177633	39.0	1.30208116085	33.0	7.73331279928
NM_177320	0.0	-	0.0	-
NM_021426	0.0	-	0.0	-
NM_001286948	632.0	133.566776781	443.0	317.92996389
NM_177638	0.0	-	0.0	-
NM_001289701	95.0	3.88992912275	89.0	4.14760147551
NM_001290302	4.0	0.545501082797	4.0	0.929781197803
NM_001289875	0.0	-	0.0	-
NM_011078	147.0	9.6272125982	106.0	11.0955019694
NM_001170705	0.0	-	0.0	-
NM_028974	0.0	-	0.0	-
NM_001289709	144.0	26.712809082	137.0	39.2305061751
NM_011075	28.0	2.22043051243	21.0	1.88832226821
NM_011076	11.0	0.761366942264	7.0	0.62944075607
NM_001290308	800.0	23.5162681994	764.0	28.6133643632
NM_011070	61.0	33.7837941494	61.0	45.1903655074
NM_011072	316.0	125.122900088	249.0	202.781322725
NM_011073	0.0	-	0.0	-
NM_134072	2.0	0.281786448905	2.0	0.708814678572
NM_001282737	74.0	36.8378773124	67.0	52.3365613689
NM_134071	43.0	3.95852729898	42.0	4.5713507801
NM_134077	37.0	3.10497090136	20.0	2.33390199042
NM_016863	2.0	0.703028436298	2.0	2.10693537484
NM_134078	80.0	10.1842995946	65.0	16.5128729322
NM_001002898	0.0	-	0.0	-
NM_016860	526.0	66.0826218714	412.0	125.488400283
NM_022024	0.0	-	0.0	-
NM_181344	89.0	10.1857375771	87.0	20.6833003722
NM_133223	6.0	1.91735028081	6.0	3.56978169726
NM_144936	27.0	5.9054388649	22.0	9.05453589402
NM_133221	208.0	24.9313355002	166.0	32.5280620071
NM_133226	0.0	-	0.0	-
NM_133227	423.0	22.7540137401	385.0	31.75917493
NM_007457	313.0	84.4349814213	257.0	185.602454891
NM_144933	38.0	3.35651012407	36.0	6.35970339297
NM_007459	289.0	21.46062877	249.0	30.4495915913
NM_007458	291.0	29.1155459575	253.0	29.7049881554
NM_133228	10.0	1.27162766255	3.0	0.636754036573
NM_133229	2.0	0.450600305803	1.0	0.750509659665
NM_001276398	0.0	-	0.0	-
NM_144939	4.0	0.645403154634	4.0	0.931667163722
NM_016867	0.0	-	0.0	-
NM_030614	0.0	-	0.0	-
NM_026298	83.0	5.28701303703	80.0	5.24927899103
NM_001024837	58.0	3.03371821433	24.0	3.8706059976
NM_030611	0.0	-	0.0	-
NM_030610	0.0	-	0.0	-
NM_030612	47.0	4.19993382307	36.0	5.67051742858
NM_009536	448.0	74.2679510761	367.0	164.616671484
NM_026290	0.0	-	0.0	-
NM_026296	0.0	-	0.0	-
NM_175137	397.0	30.9132282353	339.0	36.6886753231
NM_001167913	0.0	-	0.0	-
NM_001039228	0.0	-	0.0	-
NM_207547	0.0	-	0.0	-
NM_028528	0.0	-	0.0	-
NM_001080820	1.0	0.0929781197803	1.0	0.142643450843
NM_028527	0.0	-	0.0	-
NM_028524	0.0	-	0.0	-
NM_028525	0.0	-	0.0	-
NM_020585	40.0	6.78451863685	36.0	29.955124677
NM_028521	5.0	0.818640527058	3.0	1.42348732969
NM_025921	11.0	0.648745638015	10.0	5.74139889643
NM_025920	51.0	8.13364843662	46.0	9.26681927144
NM_025923	17.0	3.28632260065	17.0	5.19169049146
NM_025922	11.0	3.26947650703	10.0	5.77025014717
NM_054087	218.0	21.029822897	191.0	43.9521919527
NM_054084	0.0	-	0.0	-
NM_054085	0.0	-	0.0	-
NM_025929	0.0	-	0.0	-
NM_025928	173.0	55.2835997634	156.0	88.2421899353
NM_054088	83.0	6.15017563008	76.0	22.6673410976
NM_054089	20.0	1.59225298722	18.0	2.42026182988
NM_177322	4.0	0.603299358645	3.0	0.956899816072
NM_001081354	0.0	-	0.0	-
NM_001164791	27.0	1.39050175097	18.0	4.5426452807
NM_001164797	0.0	-	0.0	-
NM_029219	24.0	3.26525055721	24.0	3.76485173537
NM_001161548	3.0	0.506842472466	0.0	-
NM_177632	27.0	3.02473697958	19.0	5.13348607211
NM_029211	143.0	33.1056468625	135.0	47.261515306
NM_029210	0.0	-	0.0	-
NM_194063	0.0	-	0.0	-
NM_021022	0.0	-	0.0	-
NM_194060	27.0	3.67921922952	24.0	4.92119905409
NM_001177896	0.0	-	0.0	-
NM_144559	0.0	-	0.0	-
NM_008030	0.0	-	0.0	-
NM_184088	203.0	8.97461993821	177.0	10.6578668555
NM_028295	194.0	36.9429978742	186.0	41.2316677505
NM_028296	0.0	-	0.0	-
NM_001040689	0.0	-	0.0	-
NM_028291	38.0	2.82851976747	37.0	5.06997038587
NM_028292	216.0	31.5156839042	180.0	53.4083618273
NM_019781	713.0	126.476336143	572.0	174.221759616
NM_028298	53.0	4.48370542501	32.0	6.77951161203
NM_028299	75.0	21.8396407726	73.0	24.1568944922
NM_001018087	0.0	-	0.0	-
NM_001160363	0.0	-	0.0	-
NM_172919	8.0	1.00031632315	5.0	1.05929868938
NM_172918	9.0	0.770274634553	5.0	0.944309029019
NM_172677	110.0	7.33654070019	83.0	15.9643587405
NM_001253381	2.0	0.279273557994	1.0	0.310345886294
NM_172913	0.0	-	0.0	-
NM_172912	0.0	-	0.0	-
NM_172911	11.0	0.792745454319	11.0	0.91929239972
NM_172910	0.0	-	0.0	-
NM_172916	0.0	-	0.0	-
NM_172914	0.0	-	0.0	-
NM_054055	1.0	0.106849855393	0.0	-
NM_001290303	50.0	4.62394541995	47.0	4.60095052229
NM_001166207	0.0	-	0.0	-
NM_001193659	140.0	12.6781679101	91.0	42.6503918021
NM_175249	0.0	-	0.0	-
NM_175246	36.0	5.3339447812	29.0	8.67190458316
NM_175247	4.0	0.33235304755	0.0	-
NM_175244	48.0	3.63251951268	44.0	5.86128889659
NM_175245	9.0	1.37427101244	9.0	13.0816683716
NM_175242	51.0	5.51606926942	41.0	7.91251612618
NM_001302140	25.0	1.20735992495	24.0	1.3365041078
NM_175240	0.0	-	0.0	-
NM_175241	0.0	-	0.0	-
NM_010855	0.0	-	0.0	-
NM_001167700	60.0	11.2148866127	53.0	14.8436166591
NM_010585	802.0	27.9716629439	733.0	30.6068755715
NM_010584	0.0	-	0.0	-
NM_010851	50.0	9.04157306525	41.0	15.8516737208
NM_010582	46.0	5.07567615444	45.0	5.4335005329
NM_010581	994.0	178.901269688	902.0	318.691803359
NM_010852	14.0	1.60812773358	13.0	2.59611080534
NM_001286726	37.0	3.94000171564	31.0	6.51953720841
NM_001042501	14.0	2.09503695613	14.0	6.53492557318
NM_001042503	0.0	-	0.0	-
NM_010859	0.0	-	0.0	-
NM_145364	0.0	-	0.0	-
NM_010589	96.0	8.4063186689	92.0	9.59507172519
NM_010588	4.0	0.339895346607	4.0	0.368038390797
NM_207202	1.0	0.0946124509162	1.0	0.182266631633
NM_207203	0.0	-	0.0	-
NM_008044	21.0	6.6065411959	21.0	11.5932093101
NM_207206	16.0	2.89786695088	14.0	3.06207941143
NM_207207	110.0	39.3900547988	108.0	61.6986150065
NM_207204	6.0	0.405832240863	4.0	0.329255850692
NM_207205	35.0	1.6448755365	31.0	2.97880110108
NM_146860	0.0	-	0.0	-
NM_146861	0.0	-	0.0	-
NM_207208	0.0	-	0.0	-
NM_146863	0.0	-	0.0	-
NM_146864	0.0	-	0.0	-
NM_009349	0.0	-	0.0	-
NM_146866	0.0	-	0.0	-
NM_146867	0.0	-	0.0	-
NM_008300	426.0	31.6271887485	349.0	47.5385104355
NM_001100452	26.0	1.36138961521	20.0	2.13633447309
NM_001100451	28.0	1.973312223	26.0	5.16527236357
NM_001195760	0.0	-	0.0	-
NM_008304	321.0	33.3774049941	221.0	125.009769075
