AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_016868	1.0	0	0	1.0	0	0	1.0
NM_001285785	0	0	0	0	0	0	0
NM_023873	0	1	1.0	1	1	0	0
NM_134011	333.0	37	39.0	370.0	295.0	22.0	53.0
NM_001101620	0	0	0	0	0	0	0
NM_026251	0	0	0	0	0	0	0
NM_001013389	205.0	24	0	229.0	194.0	24.0	11.0
NM_001291046	161.0	1	1.0	162.0	46.0	0	116.0
NM_174849	8.0	1	0	9.0	9.0	0	0
NM_010169	391.0	4	0	395.0	276.0	17.0	102.0
NM_178886	506.0	30	9.0	536.0	321.0	21.0	194.0
NM_016800	18.0	3	0	21.0	16.0	3.0	2.0
NM_212452	0	0	0	0	0	0	0
NM_009281	13.0	3	0	16.0	11.0	1.0	4.0
NM_178087	155.0	12	0	167.0	123.0	2.0	42.0
NM_029934	537.0	52	62.0	589.0	428.0	105.0	56.0
NM_001136226	0	0	0	0	0	0	0
NM_001167164	0	0	0	0	0	0	0
NM_173731	0	0	0	0	0	0	0
NM_146631	0	0	0	0	0	0	0
NM_018879	49.0	11	0	60.0	50.0	7.0	3.0
NM_001025380	0	0	0	0	0	0	0
NM_174848	65.0	5	0	70.0	51.0	0	19.0
NM_183046	10.0	3	0	13.0	11.0	2.0	0
NM_001033234	0	0	0	0	0	0	0
NM_001177401	0	0	0	0	0	0	0
NM_027480	31.0	4	2.0	35.0	29.0	0	6.0
NM_145831	5.0	1	0	6.0	3.0	3.0	0
NM_001081270	0	0	1.0	0	0	0	0
NM_206871	0	0	0	0	0	0	0
NM_001081260	390.0	13	12.0	403.0	386.0	7.0	10.0
NM_009631	0	0	0	0	0	0	0
NM_001162926	0	0	0	0	0	0	0
NM_028430	0	0	0	0	0	0	0
NM_008263	2.0	0	0	2.0	1.0	0	1.0
NM_152823	0	0	0	0	0	0	0
NM_001110508	165.0	1	0	166.0	23.0	3.0	140.0
NM_001025572	19.0	0	2.0	19.0	14.0	2.0	3.0
NM_021562	0	0	0	0	0	0	0
NM_001301705	32.0	6	0	38.0	35.0	3.0	0
NM_001114664	5.0	0	3.0	5.0	4.0	0	1.0
NM_001039209	0	0	0	0	0	0	0
NM_175483	124.0	2	0	126.0	72.0	34.0	20.0
NM_201518	0	0	0	0	0	0	0
NM_027977	2383.0	204	37.0	2587.0	1813.0	84.0	690.0
NM_001329047	169.0	30	46.0	199.0	189.0	0	10.0
NM_001195128	0	0	0	0	0	0	0
NM_001290826	39.0	0	3.0	39.0	21.0	0	18.0
NM_028901	3.0	0	0	3.0	3.0	0	0
NM_207540	0	0	0	0	0	0	0
NM_001098836	110.0	10	5.0	120.0	47.0	13.0	60.0
NM_030553	0	0	0	0	0	0	0
NM_201362	0	0	0	0	0	0	0
NM_011588	599.0	86	0	685.0	579.0	99.0	7.0
NM_025364	4.0	0	2.0	4.0	2.0	0	2.0
NM_147034	0	0	0	0	0	0	0
NM_013524	0	0	0	0	0	0	0
