AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_016868	1.0	1	0	2.0	1	0	1.0
NM_001285785	0	0	0	0	0	0	0
NM_023873	6.0	1	0	7.0	5.0	2.0	0
NM_134011	246.0	29	10.0	275.0	210.0	48.0	17.0
NM_001101620	0	0	0	0	0	0	0
NM_026251	0	0	0	0	0	0	0
NM_001013389	121.0	20	3.0	141.0	106.0	15.0	20.0
NM_001291046	26.0	1	0	27.0	17.0	1.0	9.0
NM_174849	5.0	0	2.0	5.0	5.0	0	0
NM_010169	356.0	1	0	357.0	335.0	10.0	12.0
NM_178886	265.0	62	0	327.0	288.0	22.0	17.0
NM_016800	21.0	1	0	22.0	10.0	12.0	0
NM_212452	0	0	0	0	0	0	0
NM_009281	12.0	2	0	14.0	11.0	2.0	1.0
NM_178087	136.0	6	0	142.0	124.0	5.0	13.0
NM_029934	381.0	46	9.0	427.0	309.0	103.0	15.0
NM_001136226	0	0	0	0	0	0	0
NM_001167164	0	0	0	0	0	0	0
NM_173731	0	0	0	0	0	0	0
NM_146631	0	0	0	0	0	0	0
NM_018879	35.0	8	0	43.0	41.0	2.0	0
NM_001025380	0	0	0	0	0	0	0
NM_174848	54.0	6	0	60.0	42.0	0	18.0
NM_183046	23.0	7	1.0	30.0	30.0	0	0
NM_001033234	0	0	0	0	0	0	0
NM_001177401	0	0	0	0	0	0	0
NM_027480	38.0	0	0	38.0	37.0	0	1.0
NM_145831	2.0	0	0	2.0	1.0	1.0	0
NM_001081270	0	0	0	0	0	0	0
NM_206871	0	0	0	0	0	0	0
NM_001081260	225.0	11	7.0	236.0	226.0	6.0	4.0
NM_009631	0	0	0	0	0	0	0
NM_001162926	0	0	0	0	0	0	0
NM_028430	1.0	0	0	1.0	1.0	0	0
NM_008263	4.0	0	0	4.0	3.0	0	1.0
NM_152823	0	0	0	0	0	0	0
NM_001110508	179.0	0	1.0	179.0	22.0	0	157.0
NM_001025572	11.0	1	4.0	12.0	10.0	0	2.0
NM_021562	0	0	0	0	0	0	0
NM_001301705	23.0	4	0	27.0	24.0	2.0	1.0
NM_001114664	6.0	0	8.0	6.0	6.0	0	0
NM_001039209	0	0	0	0	0	0	0
NM_175483	72.0	1	0	73.0	49.0	19.0	5.0
NM_201518	0	0	0	0	0	0	0
NM_027977	2825.0	177	31.0	3002.0	2903.0	2.0	97.0
NM_001329047	281.0	65	81.0	346.0	327.0	0	19.0
NM_001195128	0	0	0	0	0	0	0
NM_001290826	24.0	1	0	25.0	19.0	0	6.0
NM_028901	0	0	0	0	0	0	0
NM_207540	0	0	0	0	0	0	0
NM_001098836	29.0	2	3.0	31.0	8.0	4.0	19.0
NM_030553	0	0	0	0	0	0	0
NM_201362	0	0	0	0	0	0	0
NM_011588	368.0	66	0	434.0	344.0	83.0	7.0
