AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_016868	16.0	0	0	16.0	16.0	0	0
NM_001285785	0	0	0	0	0	0	0
NM_023873	66.0	11	0	77.0	59.0	15.0	3.0
NM_134011	376.0	83	11.0	459.0	306.0	153.0	0
NM_001101620	0	0	0	0	0	0	0
NM_026251	0	0	0	0	0	0	0
NM_001013389	195.0	43	0	238.0	209.0	25.0	4.0
NM_001291046	64.0	1	2.0	65.0	59.0	3.0	3.0
NM_174849	18.0	2	6.0	20.0	17.0	3.0	0
NM_010169	251.0	9	0	260.0	249.0	7.0	4.0
NM_178886	185.0	19	0	204.0	199.0	5.0	0
NM_016800	82.0	17	1.0	99.0	88.0	7.0	4.0
NM_212452	1.0	0	0	1.0	1.0	0	0
NM_009281	211.0	36	3.0	247.0	223.0	14.0	10.0
NM_178087	334.0	15	1.0	349.0	334.0	14.0	1.0
NM_029934	278.0	29	3.0	307.0	226.0	78.0	3.0
NM_001136226	0	1	0	1	1	0	0
NM_001167164	0	0	0	0	0	0	0
NM_173731	0	0	0	0	0	0	0
NM_146631	0	0	0	0	0	0	0
NM_018879	179.0	39	0	218.0	173.0	44.0	1.0
NM_001025380	0	0	0	0	0	0	0
NM_174848	137.0	8	0	145.0	143.0	1.0	1.0
NM_183046	314.0	56	3.0	370.0	358.0	10.0	2.0
NM_001033234	0	0	0	0	0	0	0
NM_001177401	0	0	0	0	0	0	0
NM_027480	147.0	13	10.0	160.0	154.0	0	6.0
NM_145831	9.0	0	0	9.0	8.0	1.0	0
NM_001081270	0	0	2.0	0	0	0	0
NM_206871	0	0	0	0	0	0	0
NM_001081260	1058.0	46	40.0	1104.0	1085.0	17.0	2.0
NM_009631	0	0	0	0	0	0	0
NM_001162926	0	0	0	0	0	0	0
NM_028430	8.0	0	0	8.0	8.0	0	0
NM_008263	4.0	0	0	4.0	4.0	0	0
NM_152823	0	0	0	0	0	0	0
NM_001110508	557.0	1	5.0	558.0	85.0	15.0	458.0
NM_001025572	163.0	5	1.0	168.0	167.0	1.0	0
NM_021562	0	0	0	0	0	0	0
NM_001301705	15.0	2	0	17.0	14.0	2.0	1.0
NM_001114664	29.0	2	16.0	31.0	30.0	0	1.0
NM_001039209	0	0	0	0	0	0	0
NM_175483	362.0	4	0	366.0	248.0	118.0	0
NM_201518	0	0	0	0	0	0	0
NM_027977	8145.0	880	112.0	9025.0	8763.0	55.0	207.0
NM_001329047	422.0	110	60.0	532.0	518.0	0	14.0
NM_001195128	0	0	0	0	0	0	0
NM_001290826	118.0	14	1.0	132.0	120.0	4.0	8.0
NM_028901	14.0	0	1.0	14.0	14.0	0	0
NM_207540	0	0	0	0	0	0	0
NM_001098836	17.0	3	14.0	20.0	14.0	5.0	1.0
NM_030553	0	0	0	0	0	0	0
NM_201362	0	0	0	0	0	0	0
NM_011588	1544.0	266	1.0	1810.0	1584.0	226.0	0
NM_025364	46.0	2	1.0	48.0	48.0	0	0
NM_147034	0	0	0	0	0	0	0
NM_013524	0	0	0	0	0	0	0
NM_001243104	0	0	0	0	0	0	0
NM_016747	74.0	15	12.0	89.0	85.0	0	4.0
NM_001166627	0	0	0	0	0	0	0
NM_011798	0	0	0	0	0	0	0
NM_027085	0	0	0	0	0	0	0
NM_139291	14.0	0	1.0	14.0	3.0	11.0	0
NM_011228	0	0	0	0	0	0	0
NM_024428	167.0	2	30.0	169.0	83.0	84.0	2.0
NM_172572	126.0	18	2.0	144.0	132.0	11.0	1.0
NM_001024850	0	0	0	0	0	0	0
NM_146902	0	0	0	0	0	0	0
NM_001159518	648.0	39	1.0	687.0	660.0	12.0	15.0
NM_001297554	0	0	0	0	0	0	0
NM_001008422	599.0	33	43.0	632.0	622.0	6.0	4.0
NM_010461	102.0	0	0	102.0	99.0	1.0	2.0
NM_001312876	0	0	0	0	0	0	0
NM_146325	0	0	0	0	0	0	0
NM_183201	0	0	0	0	0	0	0
NM_001114609	144.0	15	6.0	159.0	146.0	8.0	5.0
NM_001099632	0	0	0	0	0	0	0
NM_001127169	0	0	0	0	0	0	0
NM_011391	1.0	0	0	1.0	1.0	0	0
NM_011915	0	0	0	0	0	0	0
NM_007925	4.0	1	0	5.0	4.0	1.0	0
NM_007391	0	0	0	0	0	0	0
NM_198672	0	0	0	0	0	0	0
NM_027022	0	0	0	0	0	0	0
NM_172121	7.0	2	1.0	9.0	9.0	0	0
NM_183026	0	0	0	0	0	0	0
NM_053151	0	0	0	0	0	0	0
NM_001110222	0	0	0	0	0	0	0
NM_172255	544.0	93	4.0	637.0	617.0	16.0	4.0
NM_153776	6.0	0	1.0	6.0	5.0	1.0	0
NM_027357	2718.0	478	4.0	3196.0	2855.0	273.0	68.0
NM_033077	360.0	0	0	360.0	360.0	0	0
NM_001099217	0	0	0	0	0	0	0
NM_001170705	0	0	0	0	0	0	0
NM_033074	1290.0	316	0	1606.0	1499.0	92.0	15.0
NM_171826	431.0	20	2.0	451.0	378.0	67.0	6.0
NM_010885	3009.0	118	0	3127.0	2648.0	472.0	7.0
NM_009504	26.0	8	0	34.0	27.0	6.0	1.0
NM_008143	2477.0	308	11.0	2785.0	2219.0	535.0	31.0
NM_008831	91.0	0	0	91.0	83.0	8.0	0
NM_009149	2828.0	568	10.0	3396.0	3346.0	3.0	47.0
NM_001167922	440.0	63	0	503.0	446.0	50.0	7.0
NM_001310694	2.0	0	0	2.0	2.0	0	0
NM_001346771	0	0	0	0	0	0	0
NM_146028	1.0	0	0	1.0	0	1.0	0
NM_001104626	0	0	0	0	0	0	0
NM_001164658	0	0	0	0	0	0	0
NM_011819	200.0	5	0	205.0	205.0	0	0
NM_001347626	245.0	8	0	253.0	133.0	118.0	2.0
NM_015825	0	0	0	0	0	0	0
NM_026963	365.0	75	0	440.0	293.0	138.0	9.0
NM_028959	91.0	9	7.0	100.0	92.0	7.0	1.0
NM_001326355	278.0	8	4.0	286.0	213.0	28.0	45.0
NM_027295	84.0	6	2.0	90.0	61.0	29.0	0
NM_153105	0	0	0	0	0	0	0
