AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_016868	0	0	0	0	0	0	0
NM_001285785	0	0	0	0	0	0	0
NM_023873	6.0	0	3.0	6.0	5.0	1.0	0
NM_134011	187.0	9	40.0	196.0	139.0	28.0	29.0
NM_001101620	0	0	0	0	0	0	0
NM_026251	0	0	0	0	0	0	0
NM_001013389	64.0	39	2.0	103.0	88.0	5.0	10.0
NM_001291046	70.0	1	1.0	71.0	27.0	0	44.0
NM_174849	13.0	1	4.0	14.0	14.0	0	0
NM_010169	71.0	0	0	71.0	61.0	2.0	8.0
NM_178886	162.0	24	11.0	186.0	162.0	15.0	9.0
NM_016800	22.0	0	0	22.0	17.0	5.0	0
NM_212452	1.0	0	0	1.0	1.0	0	0
NM_009281	20.0	5	4.0	25.0	22.0	2.0	1.0
NM_178087	192.0	4	1.0	196.0	185.0	1.0	10.0
NM_029934	86.0	14	4.0	100.0	62.0	36.0	2.0
NM_001136226	0	0	0	0	0	0	0
NM_001167164	0	0	0	0	0	0	0
NM_173731	0	0	0	0	0	0	0
NM_146631	0	0	0	0	0	0	0
NM_018879	32.0	6	0	38.0	36.0	2.0	0
NM_001025380	0	0	0	0	0	0	0
NM_174848	36.0	2	1.0	38.0	29.0	0	9.0
NM_183046	39.0	12	0	51.0	51.0	0	0
NM_001033234	0	0	0	0	0	0	0
NM_001177401	0	0	0	0	0	0	0
NM_027480	46.0	1	4.0	47.0	43.0	0	4.0
NM_145831	8.0	0	0	8.0	7.0	1.0	0
NM_001081270	0	0	0	0	0	0	0
NM_206871	0	0	0	0	0	0	0
NM_001081260	352.0	22	7.0	374.0	354.0	13.0	7.0
NM_009631	0	0	0	0	0	0	0
NM_001162926	0	0	0	0	0	0	0
NM_028430	3.0	0	0	3.0	3.0	0	0
NM_008263	3.0	0	0	3.0	3.0	0	0
NM_152823	0	0	0	0	0	0	0
NM_001110508	276.0	1	1.0	277.0	18.0	0	259.0
NM_001025572	49.0	1	2.0	50.0	50.0	0	0
NM_021562	0	0	0	0	0	0	0
NM_001301705	4.0	3	0	7.0	7.0	0	0
NM_001114664	20.0	0	2.0	20.0	16.0	0	4.0
NM_001039209	0	0	1.0	0	0	0	0
NM_175483	98.0	1	1.0	99.0	61.0	35.0	3.0
NM_201518	0	0	0	0	0	0	0
NM_027977	647.0	30	5.0	677.0	653.0	1.0	23.0
NM_001329047	60.0	15	47.0	75.0	74.0	0	1.0
NM_001195128	0	0	0	0	0	0	0
NM_001290826	57.0	0	8.0	57.0	48.0	2.0	7.0
NM_028901	6.0	3	0	9.0	9.0	0	0
NM_207540	0	0	0	0	0	0	0
NM_001098836	64.0	3	1.0	67.0	18.0	4.0	45.0
NM_030553	0	0	0	0	0	0	0
NM_201362	0	0	0	0	0	0	0
NM_011588	660.0	87	0	747.0	578.0	164.0	5.0
NM_025364	1.0	0	2.0	1.0	1.0	0	0
NM_147034	0	0	0	0	0	0	0
NM_013524	0	0	0	0	0	0	0
NM_001243104	0	0	0	0	0	0	0
