AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_016868	5.0	0	0	5.0	2.0	0	3.0
NM_001285785	0	0	0	0	0	0	0
NM_023873	6.0	1	11.0	7.0	4.0	1.0	2.0
NM_134011	157.0	15	36.0	172.0	140.0	13.0	19.0
NM_001101620	0	0	0	0	0	0	0
NM_026251	0	0	0	0	0	0	0
NM_001013389	103.0	15	9.0	118.0	89.0	6.0	23.0
NM_001291046	202.0	6	10.0	208.0	66.0	2.0	140.0
NM_174849	8.0	0	2.0	8.0	8.0	0	0
NM_010169	129.0	1	0	130.0	73.0	3.0	54.0
NM_178886	121.0	5	39.0	126.0	59.0	5.0	62.0
NM_016800	44.0	4	2.0	48.0	41.0	3.0	4.0
NM_212452	1.0	0	0	1.0	1.0	0	0
NM_009281	33.0	4	8.0	37.0	28.0	0	9.0
NM_178087	67.0	5	10.0	72.0	51.0	2.0	19.0
NM_029934	96.0	5	27.0	101.0	62.0	15.0	24.0
NM_001136226	0	0	0	0	0	0	0
NM_001167164	0	0	0	0	0	0	0
NM_173731	0	0	0	0	0	0	0
NM_146631	0	0	0	0	0	0	0
NM_018879	32.0	9	1.0	41.0	37.0	2.0	2.0
NM_001025380	0	0	0	0	0	0	0
NM_174848	66.0	3	5.0	69.0	53.0	0	16.0
NM_183046	10.0	1	11.0	11.0	10.0	0	1.0
NM_001033234	0	0	0	0	0	0	0
NM_001177401	0	0	0	0	0	0	0
NM_027480	42.0	2	3.0	44.0	21.0	0	23.0
NM_145831	3.0	0	0	3.0	3.0	0	0
NM_001081270	0	0	0	0	0	0	0
NM_206871	0	0	0	0	0	0	0
NM_001081260	392.0	20	29.0	412.0	391.0	2.0	19.0
NM_009631	0	0	0	0	0	0	0
NM_001162926	1.0	0	0	1.0	0	0	1.0
NM_028430	0	0	0	0	0	0	0
NM_008263	4.0	0	0	4.0	2.0	0	2.0
NM_152823	0	0	0	0	0	0	0
NM_001110508	63.0	0	1.0	63.0	8.0	0	55.0
NM_001025572	16.0	2	15.0	18.0	14.0	0	4.0
NM_021562	0	0	0	0	0	0	0
NM_001301705	0	0	0	0	0	0	0
NM_001114664	10.0	0	7.0	10.0	9.0	0	1.0
NM_001039209	0	0	0	0	0	0	0
NM_175483	169.0	0	4.0	169.0	80.0	48.0	41.0
NM_201518	0	0	0	0	0	0	0
NM_027977	1788.0	148	93.0	1936.0	1219.0	25.0	692.0
NM_001329047	57.0	13	20.0	70.0	64.0	0	6.0
NM_001195128	0	0	0	0	0	0	0
NM_001290826	53.0	1	26.0	54.0	23.0	0	31.0
NM_028901	12.0	2	1.0	14.0	14.0	0	0
NM_207540	0	0	0	0	0	0	0
NM_001098836	150.0	14	6.0	164.0	60.0	7.0	97.0
NM_030553	0	0	0	0	0	0	0
NM_201362	0	0	0	0	0	0	0
NM_011588	431.0	56	1.0	487.0	427.0	52.0	8.0
NM_025364	5.0	0	23.0	5.0	1.0	1.0	3.0
NM_147034	0	0	0	0	0	0	0
NM_013524	0	0	0	0	0	0	0
NM_001243104	0	0	0	0	0	0	0
NM_016747	31.0	2	6.0	33.0	17.0	0	16.0
NM_001166627	0	0	0	0	0	0	0
NM_011798	0	0	0	0	0	0	0
NM_027085	0	0	0	0	0	0	0
NM_139291	21.0	0	6.0	21.0	7.0	14.0	0
NM_011228	0	0	0	0	0	0	0
NM_024428	36.0	3	15.0	39.0	17.0	5.0	17.0
NM_172572	55.0	14	11.0	69.0	50.0	5.0	14.0
NM_001024850	0	0	0	0	0	0	0
NM_146902	0	0	0	0	0	0	0
NM_001159518	171.0	9	2.0	180.0	143.0	15.0	22.0
NM_001297554	0	0	0	0	0	0	0
NM_001008422	180.0	7	13.0	187.0	181.0	2.0	4.0
NM_010461	17.0	0	0	17.0	6.0	0	11.0
NM_001312876	0	0	0	0	0	0	0
NM_146325	0	0	0	0	0	0	0
NM_183201	0	0	0	0	0	0	0
NM_001114609	157.0	4	25.0	161.0	35.0	1.0	125.0
NM_001099632	0	0	0	0	0	0	0
NM_001127169	0	0	0	0	0	0	0
NM_011391	0	0	0	0	0	0	0
NM_011915	0	0	0	0	0	0	0
NM_007925	1.0	0	1.0	1.0	1.0	0	0
NM_007391	0	0	0	0	0	0	0
NM_198672	0	0	0	0	0	0	0
NM_027022	0	0	0	0	0	0	0
NM_172121	3.0	0	13.0	3.0	2.0	0	1.0
NM_183026	0	0	0	0	0	0	0
NM_053151	0	0	0	0	0	0	0
NM_001110222	0	0	0	0	0	0	0
NM_172255	110.0	27	7.0	137.0	116.0	3.0	18.0
NM_153776	3.0	0	0	3.0	2.0	0	1.0
NM_027357	385.0	68	30.0	453.0	376.0	52.0	25.0
NM_033077	14.0	0	0	14.0	14.0	0	0
NM_001099217	0	0	0	0	0	0	0
NM_001170705	0	0	0	0	0	0	0
NM_033074	191.0	39	6.0	230.0	203.0	8.0	19.0
NM_171826	94.0	4	4.0	98.0	54.0	5.0	39.0
NM_010885	488.0	26	3.0	514.0	350.0	66.0	98.0
NM_009504	10.0	0	1.0	10.0	3.0	1.0	6.0
NM_008143	1324.0	191	19.0	1515.0	1276.0	219.0	20.0
NM_008831	69.0	0	1.0	69.0	13.0	6.0	50.0
NM_009149	235.0	48	18.0	283.0	269.0	0	14.0
NM_001167922	62.0	11	12.0	73.0	39.0	2.0	32.0
NM_001310694	1.0	0	0	1.0	1.0	0	0
NM_001346771	0	0	0	0	0	0	0
NM_146028	1.0	1	0	2.0	1	0	1.0
NM_001104626	0	0	0	0	0	0	0
NM_001164658	0	0	1.0	0	0	0	0
NM_011819	91.0	0	1.0	91.0	83.0	4.0	4.0
NM_001347626	96.0	4	14.0	100.0	32.0	11.0	57.0
NM_015825	0	0	0	0	0	0	0
NM_026963	81.0	8	0	89.0	36.0	31.0	22.0
NM_028959	24.0	5	9.0	29.0	26.0	0	3.0
NM_001326355	87.0	2	2.0	89.0	28.0	14.0	47.0
NM_027295	82.0	7	19.0	89.0	36.0	16.0	37.0
NM_153105	0	0	0	0	0	0	0
NM_025903	59.0	14	2.0	73.0	60.0	5.0	8.0
NM_028935	4.0	0	1.0	4.0	1.0	0	3.0
NM_001289492	7.0	0	1.0	7.0	5.0	1.0	1.0
NM_199022	2.0	0	0	2.0	1.0	0	1.0
NM_001126325	0	0	0	0	0	0	0
NM_001201323	0	0	0	0	0	0	0
NM_008743	14.0	1	0	15.0	12.0	1.0	2.0
NM_013929	100.0	6	2.0	106.0	80.0	25.0	1.0
NM_029232	0	0	24.0	0	0	0	0
NM_147037	0	0	0	0	0	0	0
NM_009458	177.0	19	26.0	196.0	88.0	28.0	80.0
NM_019940	11.0	2	0	13.0	9.0	0	4.0
NM_025582	2.0	1	0	3.0	2.0	0	1.0
NM_010435	92.0	12	24.0	104.0	78.0	5.0	21.0
NM_201608	0	0	0	0	0	0	0
NM_026636	119.0	19	8.0	138.0	101.0	28.0	9.0
NM_030731	27.0	2	2.0	29.0	23.0	1.0	5.0
NM_015795	0	0	0	0	0	0	0
NM_025605	116.0	0	5.0	116.0	31.0	22.0	63.0
NM_001024726	5.0	1	1.0	6.0	4.0	2.0	0
NM_175104	130.0	1	6.0	131.0	16.0	7.0	108.0
NM_021366	660.0	4	40.0	664.0	114.0	55.0	495.0
NM_007421	82.0	8	2.0	90.0	70.0	4.0	16.0
NM_029346	0	0	0	0	0	0	0
NM_030743	195.0	5	15.0	200.0	58.0	10.0	132.0
NM_001013381	5.0	1	0	6.0	2.0	0	4.0
NM_001177833	19.0	1	4.0	20.0	18.0	1.0	1.0
NM_001145885	0	0	0	0	0	0	0
NM_030259	173.0	6	6.0	179.0	94.0	28.0	57.0
NM_001163628	104.0	2	9.0	106.0	23.0	19.0	64.0
NM_009027	0	1	1.0	1	0	0	1
NM_146434	0	0	0	0	0	0	0
NM_001347530	318.0	23	10.0	341.0	90.0	101.0	150.0
NM_001099310	0	0	0	0	0	0	0
NM_001159521	167.0	29	2.0	196.0	173.0	2	21.0
NM_026938	73.0	3	0	76.0	72.0	3.0	1.0
NM_134224	0	0	0	0	0	0	0
NM_011908	406.0	18	14.0	424.0	69.0	144.0	211.0
NM_147778	79.0	11	4.0	90.0	56.0	0	34.0
NM_133718	193.0	15	4.0	208.0	81.0	30.0	97.0
NM_009626	0	0	0	0	0	0	0
NM_001145801	0	0	0	0	0	0	0
NM_001146349	67.0	5	17.0	72.0	43.0	16.0	13.0
NM_130453	0	0	0	0	0	0	0
NM_011864	22.0	1	0	23.0	13.0	0	10.0
NM_032007	0	0	0	0	0	0	0
NM_146348	0	0	0	0	0	0	0
NM_001110140	657.0	77	29.0	734.0	558.0	105.0	71.0
NM_021288	93.0	5	2.0	98.0	85.0	7.0	6.0
NM_001045964	79.0	15	6.0	94.0	85.0	6.0	3.0
NM_011859	6.0	0	0	6.0	3.0	1.0	2.0
NM_029406	91.0	20	7.0	111.0	87.0	22.0	2.0
NM_007378	0	0	0	0	0	0	0
NM_009697	54.0	1	0	55.0	26.0	3.0	26.0
NM_011738	75.0	0	3.0	75.0	32.0	35.0	8.0
NM_009239	21.0	0	4.0	21.0	11.0	1.0	9.0
NM_001163763	351.0	17	5.0	368.0	178.0	87.0	103.0
NM_201364	37.0	6	2.0	43.0	42.0	0	1.0
NM_011998	0	0	0	0	0	0	0
NM_178782	35.0	3	7.0	38.0	35.0	1.0	2.0
NM_146284	0	0	0	0	0	0	0
NM_001081000	169.0	21	2.0	190.0	153.0	22.0	15.0
NM_015771	87.0	3	5.0	90.0	70.0	3.0	17.0
NM_146267	0	0	0	0	0	0	0
NM_008754	0	0	0	0	0	0	0
NM_146014	134.0	9	12.0	143.0	104.0	12.0	27.0
NM_019426	105.0	7	25.0	112.0	101.0	3.0	8.0
NM_011834	0	0	0	0	0	0	0
NM_175329	547.0	38	6.0	585.0	402.0	103.0	80.0
NM_001165968	0	0	0	0	0	0	0
NM_028260	13.0	1	14.0	14.0	4.0	7.0	3.0
NM_015759	1.0	0	0	1.0	1.0	0	0
NM_013785	212.0	3	18.0	215.0	79.0	20.0	116.0
NM_011503	32.0	7	1.0	39.0	38.0	0	1.0
NM_026175	73.0	5	3.0	78.0	49.0	11.0	18.0
NM_007862	112.0	17	58.0	129.0	89.0	18.0	22.0
NM_130893	0	0	0	0	0	0	0
NM_023324	72.0	1	17.0	73.0	33.0	16.0	24.0
NM_024285	4.0	0	0	4.0	3.0	0	1.0
NM_001081348	0	0	0	0	0	0	0
NM_001293734	132.0	9	8.0	141.0	121.0	0	20.0
NM_173762	18.0	0	25.0	18.0	17.0	1.0	0
NM_053264	0	0	0	0	0	0	0
NM_173435	0	0	0	0	0	0	0
NM_027481	44.0	1	5.0	45.0	42.0	0	3.0
NM_001012704	0	0	0	0	0	0	0
NM_025716	44.0	2	0	46.0	31.0	0	15.0
NM_008806	0	0	0	0	0	0	0
NM_008198	4.0	1	0	5.0	5.0	0	0
NM_001270541	0	0	0	0	0	0	0
NM_001324416	0	0	0	0	0	0	0
NM_010373	0	0	0	0	0	0	0
NM_170592	51.0	3	9.0	54.0	39.0	5.0	10.0
NM_001080809	0	0	0	0	0	0	0
NM_001011793	0	0	0	0	0	0	0
NM_153590	0	0	0	0	0	0	0
NM_001111311	81.0	5	17.0	86.0	59.0	9.0	18.0
NM_138663	0	0	0	0	0	0	0
NM_016917	2.0	0	0	2.0	1.0	1.0	0
NM_008536	5.0	0	0	5.0	1.0	1.0	3.0
NM_027725	0	0	0	0	0	0	0
NM_001145953	519.0	55	5.0	574.0	502.0	36.0	36.0
NM_207533	0	0	0	0	0	0	0
NM_145843	0	0	0	0	0	0	0
NM_001163572	108.0	0	13.0	108.0	11.0	0	97.0
NM_027762	0	0	0	0	0	0	0
NM_147067	0	0	0	0	0	0	0
NM_026886	2.0	0	0	2.0	0	0	2.0
NM_001085511	0	0	0	0	0	0	0
NM_001033286	1.0	0	0	1.0	0	0	1.0
NM_144789	50.0	7	8.0	57.0	37.0	0	20.0
NM_001128093	1.0	0	0	1.0	1.0	0	0
NM_001142441	0	0	0	0	0	0	0
NM_001081668	0	0	0	0	0	0	0
NM_028138	2.0	0	2.0	2.0	2.0	0	0
NM_001012402	2.0	0	0	2.0	2.0	0	0
NM_030221	28.0	8	6.0	36.0	30.0	4.0	2.0
NM_133888	1.0	0	1.0	1.0	1.0	0	0
NM_146783	0	0	0	0	0	0	0
NM_007424	0	0	0	0	0	0	0
NM_029048	0	0	0	0	0	0	0
NM_001039543	3.0	1	0	4.0	2.0	2.0	0
NM_144550	36.0	3	5.0	39.0	36.0	1	2.0
NM_009549	0	1	11.0	1	0	1	0
NM_001033158	3.0	0	0	3.0	1.0	0	2.0
NM_019944	0	0	0	0	0	0	0
NM_016720	4.0	0	1.0	4.0	1.0	0	3.0
NM_001013832	0	0	0	0	0	0	0
NM_007638	457.0	42	5.0	499.0	447.0	36.0	16.0
NM_138591	342.0	41	7.0	383.0	318.0	40.0	25.0
NM_181596	0	0	0	0	0	0	0
NM_172524	0	0	0	0	0	0	0
NM_008137	0	0	0	0	0	0	0
NM_001081048	0	0	1.0	0	0	0	0
