AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_016868	0	0	0	0	0	0	0
NM_001285785	0	0	0	0	0	0	0
NM_023873	31.0	2	37.0	33.0	25.0	3.0	5.0
NM_134011	376.0	60	1823.0	436.0	321.0	50.0	65.0
NM_001101620	0	0	0	0	0	0	0
NM_026251	0	0	4.0	0	0	0	0
NM_001013389	284.0	34	98.0	318.0	229.0	44.0	45.0
NM_001291046	531.0	10	85.0	541.0	175.0	5.0	361.0
NM_174849	21.0	0	10.0	21.0	19.0	0	2.0
NM_010169	376.0	3	7.0	379.0	225.0	22.0	132.0
NM_178886	247.0	16	164.0	263.0	130.0	14.0	119.0
NM_016800	195.0	14	13.0	209.0	127.0	58.0	24.0
NM_212452	3.0	0	1.0	3.0	3.0	0	0
NM_009281	105.0	11	52.0	116.0	92.0	1.0	23.0
NM_178087	97.0	2	42.0	99.0	70.0	2.0	27.0
NM_029934	174.0	9	43.0	183.0	112.0	43.0	28.0
NM_001136226	0	0	0	0	0	0	0
NM_001167164	0	0	0	0	0	0	0
NM_173731	2.0	0	0	2.0	2.0	0	0
NM_146631	0	0	0	0	0	0	0
NM_018879	159.0	31	15.0	190.0	149.0	31.0	10.0
NM_001025380	0	0	0	0	0	0	0
NM_174848	150.0	12	24.0	162.0	116.0	0	46.0
NM_183046	100.0	10	27.0	110.0	100.0	9.0	1.0
NM_001033234	0	0	0	0	0	0	0
NM_001177401	0	0	0	0	0	0	0
NM_027480	127.0	17	36.0	144.0	105.0	3.0	36.0
NM_145831	9.0	1	1.0	10.0	10.0	0	0
NM_001081270	0	0	4.0	0	0	0	0
NM_206871	0	0	0	0	0	0	0
NM_001081260	775.0	41	147.0	816.0	776.0	5.0	35.0
NM_009631	0	0	0	0	0	0	0
NM_001162926	0	0	0	0	0	0	0
NM_028430	4.0	0	1.0	4.0	4.0	0	0
NM_008263	4.0	0	0	4.0	3.0	0	1.0
NM_152823	0	0	0	0	0	0	0
NM_001110508	70.0	0	3.0	70.0	16.0	5.0	49.0
NM_001025572	133.0	5	126.0	138.0	103.0	3.0	32.0
NM_021562	0	0	0	0	0	0	0
NM_001301705	4.0	0	3.0	4.0	2.0	2.0	0
NM_001114664	16.0	0	28.0	16.0	13.0	0	3.0
NM_001039209	0	0	2.0	0	0	0	0
NM_175483	282.0	1	36.0	283.0	112.0	121.0	50.0
NM_201518	1.0	0	0	1.0	1.0	0	0
NM_027977	2646.0	214	226.0	2860.0	1849.0	77.0	934.0
NM_001329047	290.0	59	1007.0	349.0	334.0	0	15.0
NM_001195128	0	0	0	0	0	0	0
NM_001290826	63.0	2	109.0	65.0	30.0	2.0	33.0
NM_028901	2.0	0	0	2.0	1.0	0	1.0
NM_207540	0	0	0	0	0	0	0
NM_001098836	472.0	34	61.0	506.0	170.0	58.0	278.0
NM_030553	0	0	0	0	0	0	0
NM_201362	0	0	0	0	0	0	0
NM_011588	1404.0	195	31.0	1599.0	1380.0	200.0	19.0
